date,kospi,oil_price,interest_rate,price_index,cny_krw,usd_krw,jpy_krw
2020-01-01,2119.01,1568.44,1.25,100.09,168.01,1164.28,1065.25
2020-02-01,1987.01,1545.29,1.25,100.16,170.48,1193.79,1084.95
2020-03-01,1754.64,1469.06,0.75,99.94,173.78,1220.09,1134.75
2020-04-01,1947.56,1323.66,0.75,99.5,172.92,1225.23,1135.31
2020-05-01,2029.6,1255.08,0.5,99.44,172.52,1228.67,1145.65
2020-06-01,2108.33,1322.88,0.5,99.71,170.65,1210.01,1124.69
2020-07-01,2249.37,1360.25,0.5,99.63,170.92,1198.9,1122.38
2020-08-01,2326.17,1361.09,0.5,100.19,171.14,1186.85,1119.52
2020-09-01,2327.89,1352.47,0.5,100.74,172.98,1178.8,1116
2020-10-01,2267.15,1333.28,0.5,100.18,170.51,1144.68,1088.09
2020-11-01,2591.34,1319.59,0.5,100.09,169.07,1116.76,1069.4
2020-12-01,2873.47,1367.77,0.5,100.33,167.63,1095.13,1054.81
2021-01-01,2976.21,1441.84,0.5,101.04,169.61,1097.49,1058.52
2021-02-01,3012.95,1463.22,0.5,101.58,172.34,1111.72,1055.14
2021-03-01,3061.42,1513.27,0.5,101.84,173.76,1131.02,1040.86
2021-04-01,3147.86,1534.52,0.5,101.98,171.44,1119.4,1025.98
2021-05-01,3203.92,1541.51,0.5,102.05,174.55,1123.28,1029.14
2021-06-01,3296.68,1577.33,0.5,102.05,174.66,1121.3,1018.5
2021-07-01,3202.32,1629.26,0.5,102.26,176.6,1143.98,1037.25
2021-08-01,3199.27,1645.75,0.75,102.75,179.13,1160.34,1056.31
2021-09-01,3068.82,1642.68,0.75,103.17,181.18,1169.54,1061.22
2021-10-01,2970.68,1712.32,0.75,103.35,184.06,1182.82,1044.91
2021-11-01,2839.01,1737.39,1,103.87,185.11,1182.91,1036.36
2021-12-01,2977.65,1646.37,1,104.04,185.74,1183.7,1039.51
2022-01-01,2663.34,1635.22,1.25,104.85,187.75,1194.01,1039.55
2022-02-01,2699.18,1714.61,1.25,105.42,188.81,1198.34,1039.85
2022-03-01,2757.65,1938.46,1.25,106.1,192.16,1221.03,1028.59
2022-04-01,2695.05,1976.53,1.5,106.83,191.82,1232.34,977.38
2022-05-01,2685.9,1967.07,1.75,107.5,188.78,1269.88,985.49
2022-06-01,2332.64,2084,1.75,108.21,190.68,1277.35,951.34
2022-07-01,2451.5,2029.99,2.25,108.73,194.13,1307.4,955.93
2022-08-01,2472.05,1792.19,2.5,108.63,193.75,1318.44,975.17
2022-09-01,2155.49,1730,2.5,108.82,198.19,1391.59,973.2
2022-10-01,2293.61,1666.65,3,109.16,198.37,1426.66,969.36
2022-11-01,2472.53,1650.32,3.25,109.07,189.53,1364.1,956.51
2022-12-01,2236.4,1563.68,3.25,109.26,185.47,1296.22,959.12
2023-01-01,2425.08,1562.93,3.5,110.07,183.16,1247.25,956.76
2023-02-01,2412.85,1578.49,3.5,110.33,185.97,1270.74,956.68
2023-03-01,2476.86,1592.25,3.5,110.52,189.1,1305.73,977.31
2023-04-01,2501.53,1640.95,3.5,110.77,191.6,1320.01,990.52
2023-05-01,2577.12,1628.81,3.5,111.13,190.02,1328.21,969.37
2023-06-01,2564.28,1580.64,3.5,111.16,180.99,1296.71,918.39
2023-07-01,2632.58,1585.48,3.5,111.29,178.6,1286.3,911.74
2023-08-01,2556.27,1716.76,3.5,112.28,181.78,1318.47,911.4
2023-09-01,2465.07,1769.15,3.5,112.85,182.11,1329.47,901.65
2023-10-01,2277.99,1775.89,3.5,113.27,184.62,1350.69,903.72
2023-11-01,2535.29,1684.05,3.5,112.68,180.86,1310.39,874.28
2023-12-01,2655.28,1600.58,3.5,112.73,182.29,1303.98,904.83
2024-01-01,2497.09,1569.25,3.5,113.17,184.41,1323.57,906.71
2024-02-01,2642.36,1614.51,3.5,113.78,184.82,1331.74,891.08
2024-03-01,2746.63,1639.1,3.5,113.95,184.48,1330.7,889.12
2024-04-01,2692.06,1687.79,3.5,114.01,188.52,1367.83,889.97
2024-05-01,2636.52,1697.47,3.5,114.1,188.54,1365.39,875.88
2024-06-01,2797.82,1657.37,3.5,113.84,189.8,1380.13,874.32
2024-07-01,2770.69,1707.13,3.5,114.13,189.91,1383.38,875.3
2024-08-01,2674.31,1691.28,3.5,114.54,189.07,1354.15,925.99
2024-09-01,2593.27,1622.2,3.5,114.65,188.53,1334.82,929.25
2024-10-01,2556.15,1591.34,3.25,114.69,191.63,1361,906.77
2024-11-01,2455.91,1628.29,3,114.4,193.27,1393.38,907.16
2024-12-01,2399.49,1653.64,3,114.91,196.93,1434.42,934.25
2025-01-01,2517.37,1709.29,3,115.71,198.71,1455.79,927.97
2025-02-01,2532.78,1728.26,2.75,116.08,198.43,1445.56,952.59
2025-03-01,2481.12,1688.93,2.75,116.29,200.79,1456.95,977.77
2025-04-01,2556.61,1646.69,2.75,116.38,197.7,1444.31,999.96
2025-05-01,2697.67,1636.45,2.5,116.27,193.37,1394.49,962.28
2025-06-01,3071.7,1642.08,2.5,116.31,190.3,1366.95,944.94
2025-07-01,3245.44,1667.58,2.5,116.52,191.79,1375.22,936.97
2025-08-01,3186.01,1665.91,2.5,116.45,193.56,1389.66,941.32
,,,,,,,
